ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  390000         0.0000         0.0000         0.0000         0.0000          -5557.7560       439.3589         0.0000         0.0000       939.1182          -4179.2789       298.3496     -5118.3971     -4176.4085       301.4829             55.8732        85.8479     23113.5466      -295.4449      -295.5321
ENERGY:  395000         0.0000         0.0000         0.0000         0.0000          -5591.2656       363.0829         0.0000         0.0000       964.1129          -4264.0698       306.2902     -5228.1826     -4260.9121       301.2323           -422.3397      -406.8522     22592.4771      -224.9938      -224.9279
ENERGY:  400000         0.0000         0.0000         0.0000         0.0000          -5597.3565       367.8549         0.0000         0.0000       948.4534          -4281.0482       301.3153     -5229.5016     -4279.0147       300.8393           -753.3927      -716.3644     22805.4069      -308.9295      -309.0558
ENERGY:  405000         0.0000         0.0000         0.0000         0.0000          -5600.2423       374.8116         0.0000         0.0000       901.7957          -4323.6350       286.4926     -5225.4307     -4321.2079       297.9224           -415.2228      -379.9393     22640.0114      -209.9248      -209.9336
ENERGY:  410000         0.0000         0.0000         0.0000         0.0000          -5596.3475       396.7512         0.0000         0.0000       918.6057          -4280.9906       291.8330     -5199.5963     -4278.7782       295.9295           -243.6607      -238.2776     22890.5276      -181.5881      -181.5255
ENERGY:  415000         0.0000         0.0000         0.0000         0.0000          -5516.5327       378.9135         0.0000         0.0000       924.5559          -4213.0633       293.7233     -5137.6192     -4210.8960       302.1118           -213.4950      -201.1806     23016.8503      -166.3250      -166.3735
ENERGY:  420000         0.0000         0.0000         0.0000         0.0000          -5525.9926       371.4585         0.0000         0.0000       935.0580          -4219.4760       297.0597     -5154.5340     -4218.1076       302.8385           -492.6166      -483.3661     22838.0145      -201.5815      -201.6060
ENERGY:  425000         0.0000         0.0000         0.0000         0.0000          -5647.3107       430.5964         0.0000         0.0000       957.4717          -4259.2425       304.1804     -5216.7142     -4257.8157       304.7725            517.8817       532.5200     22364.8093      -227.5039      -227.5192
ENERGY:  430000         0.0000         0.0000         0.0000         0.0000          -5578.8515       360.2593         0.0000         0.0000       921.5589          -4297.0334       292.7712     -5218.5922     -4294.4227       301.9026           -754.2548      -717.2669     22815.3176      -187.4105      -187.4943
ENERGY:  435000         0.0000         0.0000         0.0000         0.0000          -5637.0911       385.0712         0.0000         0.0000       948.0635          -4303.9565       301.1914     -5252.0199     -4301.4499       298.6415           -550.5011      -509.0190     22504.6453      -156.5544      -156.5654
ENERGY:  440000         0.0000         0.0000         0.0000         0.0000          -5556.1637       377.1327         0.0000         0.0000       924.9910          -4254.0400       293.8615     -5179.0310     -4252.6395       297.0124           -601.6703      -588.4515     22993.5756      -207.0060      -207.0162
ENERGY:  445000         0.0000         0.0000         0.0000         0.0000          -5632.6191       383.8196         0.0000         0.0000       937.8526          -4310.9469       297.9476     -5248.7995     -4309.5375       296.3829           -499.1760      -475.5731     22613.7907      -206.3778      -206.5377
ENERGY:  450000         0.0000         0.0000         0.0000         0.0000          -5663.1612       408.2378         0.0000         0.0000       926.2937          -4328.6298       294.2754     -5254.9234     -4328.3830       293.6224            113.2488       131.2409     22379.0860      -243.5019      -243.6459
ENERGY:  455000         0.0000         0.0000         0.0000         0.0000          -5665.2951       466.1086         0.0000         0.0000       964.0427          -4235.1438       306.2679     -5199.1866     -4232.8378       301.0047           1063.9702      1085.1413     22265.9148      -215.0269      -215.0520
ENERGY:  460000         0.0000         0.0000         0.0000         0.0000          -5537.2967       353.2302         0.0000         0.0000       959.4998          -4224.5667       304.8247     -5184.0665     -4221.4527       299.5942           -635.8982      -627.5195     22810.6430      -198.8212      -198.8075
ENERGY:  465000         0.0000         0.0000         0.0000         0.0000          -5620.9958       422.3081         0.0000         0.0000       916.7280          -4281.9597       291.2364     -5198.6877     -4280.3192       299.6659            238.5111       264.3653     22636.5628      -165.3076      -165.1905
ENERGY:  470000         0.0000         0.0000         0.0000         0.0000          -5574.7403       360.9731         0.0000         0.0000       913.7921          -4299.9752       290.3037     -5213.7672     -4298.0955       301.0162           -488.3634      -472.8236     22549.6904      -210.8299      -210.9532
ENERGY:  475000         0.0000         0.0000         0.0000         0.0000          -5649.5209       404.4313         0.0000         0.0000       913.8149          -4331.2747       290.3110     -5245.0896     -4329.3175       296.3446           -287.8198      -272.2751     22693.0117      -226.2724      -226.2281
ENERGY:  480000         0.0000         0.0000         0.0000         0.0000          -5543.9474       367.1589         0.0000         0.0000       954.1621          -4222.6265       303.1289     -5176.7886     -4221.1558       299.5832            -63.9780       -48.3968     22550.3523      -264.3434      -264.4090
ENERGY:  485000         0.0000         0.0000         0.0000         0.0000          -5583.3214       392.5359         0.0000         0.0000       959.7029          -4231.0826       304.8892     -5190.7855     -4228.8326       302.2547           -389.1440      -362.7671     22853.2701      -247.7500      -247.6358
ENERGY:  490000         0.0000         0.0000         0.0000         0.0000          -5591.8605       393.6221         0.0000         0.0000       947.0235          -4251.2148       300.8611     -5198.2384     -4249.0973       295.4552           -282.2072      -265.2635     22809.3216      -252.8359      -252.9174
ENERGY:  495000         0.0000         0.0000         0.0000         0.0000          -5620.1648       391.4639         0.0000         0.0000       937.4835          -4291.2174       297.8303     -5228.7010     -4289.2051       297.8482            -18.8004        -5.7257     22426.7497      -220.3573      -220.5696
ENERGY:  500000         0.0000         0.0000         0.0000         0.0000          -5608.0698       431.1334         0.0000         0.0000       918.2441          -4258.6924       291.7181     -5176.9365     -4257.2249       297.4348            -91.3627       -80.2192     22934.7869      -229.8599      -229.9409
